date,medication,post_text,replies_count,views,author_type,source
2025-10-06 20:11:08.635555,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2025-10-01 20:11:08.635576,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2025-09-26 20:11:08.635599,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2025-09-21 20:11:08.635602,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2025-09-16 20:11:08.635605,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2025-09-11 20:11:08.635609,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2025-09-06 20:11:08.635613,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2025-09-01 20:11:08.635616,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2025-08-27 20:11:08.635619,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2025-08-22 20:11:08.635623,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2025-08-17 20:11:08.635626,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2025-08-12 20:11:08.635630,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2025-08-07 20:11:08.635633,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2025-08-02 20:11:08.635636,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2025-07-28 20:11:08.635638,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2025-07-23 20:11:08.635641,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2025-07-18 20:11:08.635644,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2025-07-13 20:11:08.635648,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2025-07-08 20:11:08.635650,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2025-07-03 20:11:08.635653,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2025-06-28 20:11:08.635657,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2025-06-23 20:11:08.635659,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2025-06-18 20:11:08.635662,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2025-06-13 20:11:08.635665,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2025-06-08 20:11:08.635668,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2025-06-03 20:11:08.635671,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2025-05-29 20:11:08.635675,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2025-05-24 20:11:08.635678,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2025-05-19 20:11:08.635681,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2025-05-14 20:11:08.635684,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2025-05-09 20:11:08.635687,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2025-05-04 20:11:08.635689,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2025-04-29 20:11:08.635692,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2025-04-24 20:11:08.635696,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2025-04-19 20:11:08.635699,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2025-04-14 20:11:08.635702,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2025-04-09 20:11:08.635705,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2025-04-04 20:11:08.635708,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2025-03-30 20:11:08.635711,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2025-03-25 20:11:08.635714,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
2025-03-20 20:11:08.635717,Ozempic,Started Ozempic 3 weeks ago. Experiencing persistent nausea. Anyone else?,5,150,Patient,webmd
2025-03-15 20:11:08.635721,Ozempic,Doctor recommended Ozempic for prediabetes. What should I expect?,12,450,Patient,webmd
2025-03-10 20:11:08.635724,Ozempic,Headaches started after increasing to 1mg dose. Is this common?,8,280,Healthcare Provider,webmd
2025-03-05 20:11:08.635727,Ozempic,Great results with minimal side effects. Lost 15 lbs in 2 months.,20,890,Patient,webmd
2025-02-28 20:11:08.635730,Ozempic,Dizziness and fatigue. Wondering if I should continue or switch.,15,520,Patient,webmd
