date,product,issue_type,issue_title,upvotes,comments,status,source
2025-10-06 20:45:03.523321,Asana,Bug,API timeout with large datasets,15,5,Open,github
2025-10-04 20:45:03.523340,Asana,Feature Request,Add support for SSO authentication,45,12,Open,github
2025-10-02 20:45:03.523345,Asana,Enhancement,Export functionality missing for CSV format,23,8,Closed,github
2025-09-30 20:45:03.523348,Asana,Question,Performance degradation with 1000+ records,67,23,Open,github
2025-09-28 20:45:03.523351,Asana,Documentation,Mobile app crashes on iOS 17,12,3,In Progress,github
2025-09-26 20:45:03.523355,Asana,Bug,API timeout with large datasets,89,34,Open,github
2025-09-24 20:45:03.523358,Asana,Feature Request,Add support for SSO authentication,34,15,Open,github
2025-09-22 20:45:03.523361,Asana,Enhancement,Export functionality missing for CSV format,56,19,Closed,github
2025-09-20 20:45:03.523364,Asana,Question,Performance degradation with 1000+ records,28,9,Open,github
2025-09-18 20:45:03.523368,Asana,Documentation,Mobile app crashes on iOS 17,41,16,In Progress,github
2025-09-16 20:45:03.523372,Asana,Bug,API timeout with large datasets,15,5,Open,github
2025-09-14 20:45:03.523375,Asana,Feature Request,Add support for SSO authentication,45,12,Open,github
2025-09-12 20:45:03.523378,Asana,Enhancement,Export functionality missing for CSV format,23,8,Closed,github
2025-09-10 20:45:03.523382,Asana,Question,Performance degradation with 1000+ records,67,23,Open,github
2025-09-08 20:45:03.523385,Asana,Documentation,Mobile app crashes on iOS 17,12,3,In Progress,github
2025-09-06 20:45:03.523388,Asana,Bug,API timeout with large datasets,89,34,Open,github
2025-09-04 20:45:03.523391,Asana,Feature Request,Add support for SSO authentication,34,15,Open,github
2025-09-02 20:45:03.523395,Asana,Enhancement,Export functionality missing for CSV format,56,19,Closed,github
2025-08-31 20:45:03.523398,Asana,Question,Performance degradation with 1000+ records,28,9,Open,github
2025-08-29 20:45:03.523401,Asana,Documentation,Mobile app crashes on iOS 17,41,16,In Progress,github
2025-08-27 20:45:03.523404,Asana,Bug,API timeout with large datasets,15,5,Open,github
2025-08-25 20:45:03.523407,Asana,Feature Request,Add support for SSO authentication,45,12,Open,github
2025-08-23 20:45:03.523410,Asana,Enhancement,Export functionality missing for CSV format,23,8,Closed,github
2025-08-21 20:45:03.523414,Asana,Question,Performance degradation with 1000+ records,67,23,Open,github
2025-08-19 20:45:03.523424,Asana,Documentation,Mobile app crashes on iOS 17,12,3,In Progress,github
